ds,yhat
2025-05-16,208.4723690198574
2025-05-19,207.47843463984742
2025-05-20,207.02814698038716
2025-05-21,207.36030440738995
2025-05-22,208.0402714083015
2025-05-23,208.4705735562323
2025-05-26,208.70130895830334
2025-05-27,208.65896221031602
2025-05-28,208.50270361296026
2025-05-29,208.35410186278506
2025-05-30,208.26336176433625
2025-06-02,208.25145145735448
2025-06-03,208.28400860601678
2025-06-04,208.32846060976865
2025-06-05,208.36072700305624
2025-06-06,208.37180546001485
2025-06-09,208.3669609959657
2025-06-10,208.3551112275819
2025-06-11,208.3445382044015
2025-06-12,208.33920949824443
2025-06-13,208.33901591529303
2025-06-16,208.34177829102615
2025-06-17,208.34497514296905
2025-06-18,208.34705020572628
2025-06-19,208.34761878651366
2025-06-20,208.34710863393784
2025-06-23,208.3462226436718
2025-06-24,208.3455066452568
2025-06-25,208.34519118632178
2025-06-26,208.34523212620883
