Date,Forecast
2025-05-19,211.6635
2025-05-20,212.07645
2025-05-21,212.51602
2025-05-22,212.97447
2025-05-23,213.44542
2025-05-26,213.9236
2025-05-27,214.4048
2025-05-28,214.8859
2025-05-29,215.3645
2025-05-30,215.83882
2025-06-02,216.30765
2025-06-03,216.77011
2025-06-04,217.22572
2025-06-05,217.67413
2025-06-06,218.11516
2025-06-09,218.54872
2025-06-10,218.97476
2025-06-11,219.39337
2025-06-12,219.8046
2025-06-13,220.20856
2025-06-16,220.60533
2025-06-17,220.99503
2025-06-18,221.3777
2025-06-19,221.75345
2025-06-20,222.12247
2025-06-23,222.48471
2025-06-24,222.84033
2025-06-25,223.18942
2025-06-26,223.53203
2025-06-27,223.86823
