ds,yhat
2025-05-16,209.77751
2025-05-19,210.21878
2025-05-20,210.66934
2025-05-21,211.12296
2025-05-22,211.57547
2025-05-23,212.02411
2025-05-26,212.46724
2025-05-27,212.9039
2025-05-28,213.33325
2025-05-29,213.75505
2025-05-30,214.16916
2025-06-02,214.57553
2025-06-03,214.97437
2025-06-04,215.36551
2025-06-05,215.7492
2025-06-06,216.12572
2025-06-09,216.4951
2025-06-10,216.85776
2025-06-11,217.21375
2025-06-12,217.56316
2025-06-13,217.90619
2025-06-16,218.24292
2025-06-17,218.57355
2025-06-18,218.89812
2025-06-19,219.21677
2025-06-20,219.52948
2025-06-23,219.83644
2025-06-24,220.13762
2025-06-25,220.43329
2025-06-26,220.72348
