ds,yhat
2025-05-16,210.6505169231737
2025-05-19,209.66832511423172
2025-05-20,207.3955201722514
2025-05-21,204.19172051302394
2025-05-22,202.87757339318782
2025-05-23,201.82692052246037
2025-05-26,201.30150380182397
2025-05-27,201.1197090690745
2025-05-28,203.42400373050734
2025-05-29,203.5158554929392
2025-05-30,206.34142113317054
2025-06-02,206.2507870595181
2025-06-03,205.4466712587033
2025-06-04,204.49134998975842
2025-06-05,202.16742956360127
2025-06-06,198.94616584183143
2025-06-09,197.6344806841682
2025-06-10,196.57796596288668
2025-06-11,196.06343395036544
2025-06-12,195.8920032985041
2025-06-13,198.26831178534724
2025-06-16,198.37583718226213
2025-06-17,201.1758404807039
2025-06-18,201.07972967922495
2025-06-19,200.2754358884632
2025-06-20,199.32006278130774
2025-06-23,196.99641766888539
2025-06-24,193.77535001014004
2025-06-25,192.46360021126614
2025-06-26,191.4071603639153
