ds,yhat
2025-05-16,202.66638128260556
2025-05-19,202.31352848313713
2025-05-20,202.7791699854999
2025-05-21,203.76349915946406
2025-05-22,204.06312344980432
2025-05-23,204.10884032109368
2025-05-26,203.9606948093994
2025-05-27,203.79602111395874
2025-05-28,203.76222817874887
2025-05-29,203.75902162831233
2025-05-30,203.79694888296984
2025-06-02,203.82058292587786
2025-06-03,203.8249831918482
2025-06-04,203.8235776682821
2025-06-05,203.81550591743112
2025-06-06,203.81257950209246
2025-06-09,203.8118414700477
2025-06-10,203.81266070256615
2025-06-11,203.81410660466403
2025-06-12,203.81444122365502
2025-06-13,203.81456094932292
2025-06-16,203.8142975736446
2025-06-17,203.81407936176535
2025-06-18,203.81403503836793
2025-06-19,203.81402547928963
2025-06-20,203.81408909759847
2025-06-23,203.81411687748908
2025-06-24,203.81412505426687
2025-06-25,203.81412221228757
2025-06-26,203.81410982291044
