Date,Forecast
2025-05-19,195.28648
2025-05-20,196.04234
2025-05-21,196.62321
2025-05-22,197.08138
2025-05-23,197.45287
2025-05-26,197.7629
2025-05-27,198.0281
2025-05-28,198.26076
2025-05-29,198.46867
2025-05-30,198.65735
2025-06-02,198.83134
2025-06-03,198.99329
2025-06-04,199.14548
2025-06-05,199.28926
2025-06-06,199.42593
2025-06-09,199.55675
2025-06-10,199.68211
2025-06-11,199.80287
2025-06-12,199.91957
2025-06-13,200.03236
2025-06-16,200.14172
2025-06-17,200.24782
2025-06-18,200.35068
2025-06-19,200.45068
2025-06-20,200.5482
2025-06-23,200.64319
2025-06-24,200.73602
2025-06-25,200.82655
2025-06-26,200.91472
2025-06-27,201.00053
