ds,yhat
2025-05-16,188.57971
2025-05-19,189.19138
2025-05-20,189.57329
2025-05-21,189.78462
2025-05-22,189.87497
2025-05-23,189.88223
2025-05-26,189.8344
2025-05-27,189.75061
2025-05-28,189.64462
2025-05-29,189.5252
2025-05-30,189.39816
2025-06-02,189.2678
2025-06-03,189.13647
2025-06-04,189.0059
2025-06-05,188.87695
2025-06-06,188.75035
2025-06-09,188.62674
2025-06-10,188.50612
2025-06-11,188.38889
2025-06-12,188.27513
2025-06-13,188.16473
2025-06-16,188.05782
2025-06-17,187.95432
2025-06-18,187.85402
2025-06-19,187.75702
2025-06-20,187.66351
2025-06-23,187.5732
2025-06-24,187.48631
2025-06-25,187.40254
2025-06-26,187.32162
