ds,yhat
2025-05-16,164.88373753395763
2025-05-19,162.8774249641554
2025-05-20,161.2180249996154
2025-05-21,161.28638836632982
2025-05-22,161.5572077935956
2025-05-23,162.5395611671717
2025-05-26,163.1221434119879
2025-05-27,163.25916170764327
2025-05-28,163.0858420985844
2025-05-29,162.6843833074255
2025-05-30,162.42784883598978
2025-06-02,162.3348194719284
2025-06-03,162.41914646215147
2025-06-04,162.58074464288927
2025-06-05,162.7014770727497
2025-06-06,162.74802881440436
2025-06-09,162.71348348610596
2025-06-10,162.6464128248449
2025-06-11,162.5904154940688
2025-06-12,162.56832957309902
2025-06-13,162.58127559449719
2025-06-16,162.60977555298902
2025-06-17,162.6351411201853
2025-06-18,162.6456636328781
2025-06-19,162.64103706539095
2025-06-20,162.62885050005704
2025-06-23,162.61752067855795
2025-06-24,162.61248011293293
2025-06-25,162.61406726663242
2025-06-26,162.6192594123332
