Date,Forecast
2025-05-19,160.40677
2025-05-20,160.57878
2025-05-21,160.67792
2025-05-22,160.72778
2025-05-23,160.74483
2025-05-26,160.74028
2025-05-27,160.72179
2025-05-28,160.69458
2025-05-29,160.66212
2025-05-30,160.62686
2025-06-02,160.59032
2025-06-03,160.55362
2025-06-04,160.51744
2025-06-05,160.48222
2025-06-06,160.44826
2025-06-09,160.4157
2025-06-10,160.3846
2025-06-11,160.35503
2025-06-12,160.32693
2025-06-13,160.3003
2025-06-16,160.27504
2025-06-17,160.25113
2025-06-18,160.2285
2025-06-19,160.20706
2025-06-20,160.18678
2025-06-23,160.16759
2025-06-24,160.14941
2025-06-25,160.1322
2025-06-26,160.1159
2025-06-27,160.10048
