ds,yhat
2025-05-16,160.47491
2025-05-19,160.58223
2025-05-20,160.66452
2025-05-21,160.72762
2025-05-22,160.77608
2025-05-23,160.81334
2025-05-26,160.84198
2025-05-27,160.86394
2025-05-28,160.88077
2025-05-29,160.89362
2025-05-30,160.90341
2025-06-02,160.91092
2025-06-03,160.91666
2025-06-04,160.92113
2025-06-05,160.92462
2025-06-06,160.92735
2025-06-09,160.9296
2025-06-10,160.93141
2025-06-11,160.93297
2025-06-12,160.93433
2025-06-13,160.9355
2025-06-16,160.93658
2025-06-17,160.93758
2025-06-18,160.93849
2025-06-19,160.93935
2025-06-20,160.94019
2025-06-23,160.941
2025-06-24,160.94182
2025-06-25,160.9426
2025-06-26,160.9433
