ds,yhat
2025-05-16,164.8691419524234
2025-05-19,163.66210555684532
2025-05-20,161.40693090251986
2025-05-21,159.88991191090855
2025-05-22,159.2201736892664
2025-05-23,157.2577557064169
2025-05-26,157.76057589464736
2025-05-27,156.10199717896535
2025-05-28,158.14282029705126
2025-05-29,158.6308125751156
2025-05-30,161.68949204876742
2025-06-02,161.91582801596473
2025-06-03,160.86796556020312
2025-06-04,160.02849927896062
2025-06-05,157.79922121406028
2025-06-06,156.416452788422
2025-06-09,155.69908030579256
2025-06-10,153.4228530653445
2025-06-11,153.99239118671113
2025-06-12,152.34965267253006
2025-06-13,154.48875389062297
2025-06-16,155.00513340241585
2025-06-17,158.15499390212287
2025-06-18,158.3291512629064
2025-06-19,157.2976519709891
2025-06-20,156.44650098523553
2025-06-23,154.2163022342743
2025-06-24,152.82925411783629
2025-06-25,152.1133915966548
2025-06-26,149.84729010729336
