ds,yhat
2025-05-16,453.46777973208276
2025-05-19,452.85009637871053
2025-05-20,452.8697820633183
2025-05-21,452.75870745990227
2025-05-22,452.8487097015571
2025-05-23,452.83232591205814
2025-05-26,452.8581817681803
2025-05-27,452.8434839802075
2025-05-28,452.84882229421754
2025-05-29,452.843489138382
2025-05-30,452.846201407668
2025-06-02,452.84482812751986
2025-06-03,452.8458944729424
2025-06-04,452.84534960319803
2025-06-05,452.84566720956144
2025-06-06,452.8454533319426
2025-06-09,452.845567475751
2025-06-10,452.8454978043871
2025-06-11,452.8455413005705
2025-06-12,452.84551704793677
2025-06-13,452.845531940037
2025-06-16,452.845522971096
2025-06-17,452.8455281317196
2025-06-18,452.84552498565415
2025-06-19,452.84552685366435
2025-06-20,452.84552575847016
2025-06-23,452.8455264201387
2025-06-24,452.84552602873356
2025-06-25,452.8455262604393
2025-06-26,452.84552612143256
