Date,Forecast
2025-05-19,449.1486
2025-05-20,452.74
2025-05-21,456.07944
2025-05-22,459.22403
2025-05-23,462.2153
2025-05-26,465.0841
2025-05-27,467.84998
2025-05-28,470.52692
2025-05-29,473.12228
2025-05-30,475.63965
2025-06-02,478.08215
2025-06-03,480.45026
2025-06-04,482.744
2025-06-05,484.9616
2025-06-06,487.10205
2025-06-09,489.16483
2025-06-10,491.1486
2025-06-11,493.05362
2025-06-12,494.8799
2025-06-13,496.6275
2025-06-16,498.29715
2025-06-17,499.88968
2025-06-18,501.40643
2025-06-19,502.84897
2025-06-20,504.21918
2025-06-23,505.5189
2025-06-24,506.75055
2025-06-25,507.91602
2025-06-26,509.01743
2025-06-27,510.05743
