ds,yhat
2025-05-16,431.88904
2025-05-19,435.3362
2025-05-20,438.41547
2025-05-21,441.1673
2025-05-22,443.64722
2025-05-23,445.90756
2025-05-26,447.99625
2025-05-27,449.95056
2025-05-28,451.80258
2025-05-29,453.5747
2025-05-30,455.2826
2025-06-02,456.9405
2025-06-03,458.55646
2025-06-04,460.1368
2025-06-05,461.68326
2025-06-06,463.19742
2025-06-09,464.68085
2025-06-10,466.13232
2025-06-11,467.55252
2025-06-12,468.94153
2025-06-13,470.29773
2025-06-16,471.621
2025-06-17,472.91046
2025-06-18,474.16565
2025-06-19,475.38632
2025-06-20,476.57275
2025-06-23,477.72406
2025-06-24,478.84128
2025-06-25,479.92355
2025-06-26,480.97018
