ds,yhat
2025-05-16,339.40929089232884
2025-05-19,335.86612881759635
2025-05-20,333.72517214425557
2025-05-21,333.88020667515514
2025-05-22,334.6151993557754
2025-05-23,335.29776502229777
2025-05-26,335.7122901316389
2025-05-27,335.75672399066127
2025-05-28,335.6359072090619
2025-05-29,335.5031063015266
2025-05-30,335.4198524749059
2025-06-02,335.4009030907531
2025-06-03,335.4186939133654
2025-06-04,335.4435419270137
2025-06-05,335.46043044484395
2025-06-06,335.46575790289023
2025-06-09,335.46347329727865
2025-06-10,335.45899049077934
2025-06-11,335.455605440148
2025-06-12,335.4542886515078
2025-06-13,335.4545032646916
2025-06-16,335.45528396140304
2025-06-17,335.4559493734114
2025-06-18,335.45625336092735
2025-06-19,335.456255765183
2025-06-20,335.456125025167
2025-06-23,335.45599700326096
2025-06-24,335.45592999517044
2025-06-25,335.45592117077706
2025-06-26,335.45594199587646
