Date,Forecast
2025-05-19,308.6763
2025-05-20,311.96762
2025-05-21,314.8732
2025-05-22,317.44122
2025-05-23,319.72092
2025-05-26,321.76028
2025-05-27,323.60266
2025-05-28,325.28592
2025-05-29,326.84137
2025-05-30,328.29416
2025-06-02,329.6647
2025-06-03,330.96854
2025-06-04,332.21826
2025-06-05,333.42245
2025-06-06,334.5881
2025-06-09,335.72064
2025-06-10,336.82376
2025-06-11,337.9005
2025-06-12,338.9531
2025-06-13,339.9827
2025-06-16,340.9906
2025-06-17,341.9775
2025-06-18,342.94394
2025-06-19,343.8906
2025-06-20,344.8183
2025-06-23,345.72702
2025-06-24,346.61728
2025-06-25,347.4892
2025-06-26,348.3429
2025-06-27,349.17865
