ds,yhat
2025-05-16,289.47934
2025-05-19,291.93036
2025-05-20,293.42114
2025-05-21,294.27637
2025-05-22,294.71677
2025-05-23,294.88892
2025-05-26,294.88882
2025-05-27,294.77902
2025-05-28,294.6
2025-05-29,294.37802
2025-05-30,294.13028
2025-06-02,293.86786
2025-06-03,293.59824
2025-06-04,293.32632
2025-06-05,293.05554
2025-06-06,292.78824
2025-06-09,292.52582
2025-06-10,292.2695
2025-06-11,292.0198
2025-06-12,291.77716
2025-06-13,291.54193
2025-06-16,291.31412
2025-06-17,291.09375
2025-06-18,290.88083
2025-06-19,290.67514
2025-06-20,290.47644
2025-06-23,290.28464
2025-06-24,290.09946
2025-06-25,289.9207
2025-06-26,289.74817
