ds,yhat
2025-05-16,331.4976257092407
2025-05-19,330.2137269909201
2025-05-20,329.3860732401923
2025-05-21,320.57577697745705
2025-05-22,317.1755579323413
2025-05-23,315.820647548674
2025-05-26,313.2688615795827
2025-05-27,313.71453442806757
2025-05-28,317.540203583299
2025-05-29,325.2829393962466
2025-05-30,338.9358518469512
2025-06-02,339.8639059209975
2025-06-03,328.99350810125435
2025-06-04,327.38867186741487
2025-06-05,327.6096199555314
2025-06-06,318.7400598026198
2025-06-09,315.4211139578198
2025-06-10,314.0727864501971
2025-06-11,312.8910259924142
2025-06-12,314.48675533846006
2025-06-13,320.1931390698109
2025-06-16,328.5838222165103
2025-06-17,342.3996738894408
2025-06-18,342.56868337900744
2025-06-19,331.8001891023317
2025-06-20,330.08832660575786
2025-06-23,330.3327158792409
2025-06-24,321.34450154376583
2025-06-25,318.1348066231063
2025-06-26,316.67481409481894
